ID,Created,Name,Description,Playlist URL
f41e0faf340b46898888a6e511738e65,2025-07-17T15:57:25Z,Beach Side Listening,"Sun’s out, tunes on. Drop a song perfect for lounging by the waves or cruising the coast. Vibes are everything.",https://open.spotify.com/playlist/6j6TexYbiea8yqGh0kZPsx
be455dede0cf4cfb87f9ad93ef929d57,2025-07-17T15:58:08Z,Songs About Food,"Whether it’s a tasty metaphor or literally about snacks — if it makes your mouth water, serve it up.",https://open.spotify.com/playlist/55u4wtYPDNsop2o3mfgqHC
850efeee0dde4f62a309322945ae8fc6,2025-07-17T15:58:25Z,First Concerts,Think back to your first concert experience. Share a song from the artist you saw — or a track that captures that feeling.,https://open.spotify.com/playlist/4KKicnZbZSrqMNhb378Beq
de22a8a785be4ef0bec66c0e3e4b5cb6,2025-07-17T15:58:41Z,Walk-Out Music,"You’re entering the ring, the stage, or the spotlight — what’s blasting behind you? Big entrances only.",https://open.spotify.com/playlist/3nrdAeiqdtNkPl4PX9tVqO
50bfb365d37045cebed7f1a3cc466c44,2025-07-17T15:58:52Z,Songs About Work,"Office blues, grinding, hustling, or quitting — any song that taps into working life is fair game.",https://open.spotify.com/playlist/7LVlvajmKUpDwQ9GxOpFMB
2ed2aa869e5e43d48e96bcda572fbc21,2025-07-17T15:59:08Z,Songs Everyone Knows,"The universal anthems. Play something everyone would recognize — crowd‑pleasers, stadium hits, or generational staples.",https://open.spotify.com/playlist/5uULjrxJIt1D4NAmHraige
cdc6450ff1cd4cd3b9635b33cdf7f6d5,2025-07-17T15:59:21Z,Personal Fave – Exercise,"What gets you pumped? Share a song from your personal workout playlist — high energy, high motivation.",https://open.spotify.com/playlist/3vfgFHB8cehAM0LBhoEA6h
3f5e29b1dade45f0b8775811c2a70433,2025-07-17T15:59:35Z,Songs You’re Surprised Exist,"Ever stumble on a song so bizarre, niche, or out‑of‑pocket that you thought it was a joke? Bring the weird.",https://open.spotify.com/playlist/7sWELXag9Dpini4Fc6GgV5
9d5da6f9337a40808ed35020606d7f8e,2025-07-17T15:59:50Z,Modern Songs That Sound Old,Tracks from the last 10 years that sound like they could be from a different era. Think vintage vibes with a modern twist.,https://open.spotify.com/playlist/7cCAKVHew4dOBVfpFCWkMx
2c82fc15bc484c20a57c1ed70a543f9d,2025-07-17T16:00:02Z,Song About Endings,"Songs that deal with closure, farewells, breakups, or final chapters. Wrap the summer season with a reflective note.",https://open.spotify.com/playlist/05F7Zehzubw3D6atH99FRF
