Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2s1LwWGa7WYHT2y1I0BVnh,81ea7661d45940668478c76e755fd74f,2026-02-03T14:43:30Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5ZLZldF14F2TT9FCiQhmXv,81ea7661d45940668478c76e755fd74f,2026-02-03T14:43:30Z,2,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,81ea7661d45940668478c76e755fd74f,2026-02-03T14:43:30Z,3,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:6tlwBHBN7ApTmkchJDxqOd,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5hgpmgIWjfnI6CuwSNklBl,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:4hp4cs1fKConq0Cmr4luW9,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:1YkozbENeETx2a45JWrr8E,376289a642444f0997c9e5c0d9051d0f,2026-02-03T15:26:54Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:4hp4cs1fKConq0Cmr4luW9,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,Loveeeee,9c3aed75f763433ca72ff76083f22dbc
spotify:track:1YkozbENeETx2a45JWrr8E,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:6RSVgjjYRtKg4FDyx2Lj1u,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,Absolutely. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5mHdCZtVyb4DcJw8799hZp,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,Nice. I dig it. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3F2BvwuOOs8cddpx2chlSC,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,0,Someone is chaos. Very interesting choice. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:6tlwBHBN7ApTmkchJDxqOd,d9df39ebaa4148dcad17d8311666f155,2026-02-03T23:23:17Z,1,Yeah this is great. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:4hp4cs1fKConq0Cmr4luW9,c1464401e87d41beaf84bf2bf8164ce9,2026-02-03T23:33:28Z,3,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:1YkozbENeETx2a45JWrr8E,c1464401e87d41beaf84bf2bf8164ce9,2026-02-03T23:33:28Z,2,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,c1464401e87d41beaf84bf2bf8164ce9,2026-02-03T23:33:28Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5ZLZldF14F2TT9FCiQhmXv,4ad89e5b9e954a30b70342f39fb86a85,2026-02-03T23:58:23Z,1,it was really close for my number 3 between this and 2 others but sided with this one. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:1YkozbENeETx2a45JWrr8E,4ad89e5b9e954a30b70342f39fb86a85,2026-02-03T23:58:23Z,0,if rise against wasnt already a band i listen to a lot this woulda gotten some points but i had to free up some points.,9c3aed75f763433ca72ff76083f22dbc
spotify:track:2oATCcD9fZwYnuQCXIbHSi,4ad89e5b9e954a30b70342f39fb86a85,2026-02-03T23:58:23Z,2,really great and new for me took my second place,9c3aed75f763433ca72ff76083f22dbc
spotify:track:6tlwBHBN7ApTmkchJDxqOd,4ad89e5b9e954a30b70342f39fb86a85,2026-02-03T23:58:23Z,0,fire. this was close to my top 3 but i had to shed a point somewhere,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,4ad89e5b9e954a30b70342f39fb86a85,2026-02-03T23:58:23Z,3,damn i thought for sure i had already picked my top 3 and then this one came and stole it,9c3aed75f763433ca72ff76083f22dbc
spotify:track:1YkozbENeETx2a45JWrr8E,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,0,I wanted to give a point for bringing this absolute banger back to my attention. But :( ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5hgpmgIWjfnI6CuwSNklBl,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,1,Had me with the  black keys vibes,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,0,Almost. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:6tlwBHBN7ApTmkchJDxqOd,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,3,This reminds me of multiple artists I like but as a power group. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,2,This is kind of a bop. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5ZLZldF14F2TT9FCiQhmXv,4bef5cf5b9314383b6c61a18935d5f4d,2026-02-04T02:11:11Z,0,I like this more than I care to admit. ,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5ZLZldF14F2TT9FCiQhmXv,2e30f2794fbd48b09ff2e9d38ecc851d,2026-02-04T15:46:26Z,2,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,2e30f2794fbd48b09ff2e9d38ecc851d,2026-02-04T15:46:26Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:2s1LwWGa7WYHT2y1I0BVnh,2e30f2794fbd48b09ff2e9d38ecc851d,2026-02-04T15:46:26Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,2e30f2794fbd48b09ff2e9d38ecc851d,2026-02-04T15:46:26Z,2,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:2oATCcD9fZwYnuQCXIbHSi,44c2f542f7c645febc86317b55d78c22,2026-02-05T04:25:03Z,2,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:7pugmRsHRy1fnug9NqH5cA,44c2f542f7c645febc86317b55d78c22,2026-02-05T04:25:03Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:5ZLZldF14F2TT9FCiQhmXv,44c2f542f7c645febc86317b55d78c22,2026-02-05T04:25:03Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:3IelG5zYpWWCZIH4cqWlPV,44c2f542f7c645febc86317b55d78c22,2026-02-05T04:25:03Z,1,,9c3aed75f763433ca72ff76083f22dbc
spotify:track:2s1LwWGa7WYHT2y1I0BVnh,44c2f542f7c645febc86317b55d78c22,2026-02-05T04:25:03Z,1,,9c3aed75f763433ca72ff76083f22dbc
